 Rank,Player,SPG
1.,Alvin Robertson,2.71
2.,Micheal Ray Richardson,2.63
3.,Fatty Taylor,2.40
4.,Michael Jordan*,2.35
5.,Mookie Blaylock,2.33
6.,Fat Lever,2.22
7.,Slick Watts,2.20
8.,John Stockton*,2.17
9.,Allen Iverson*,2.17
10.,Chris Paul,2.12
11.,Maurice Cheeks*,2.10
12.,Brian Taylor,2.06
13.,Don Buse,2.04
14.,Clyde Drexler*,2.03
15.,Rick Barry*,1.99
16.,Gus Williams,1.99
17.,Julius Erving*,1.96
18.,Scottie Pippen*,1.96
19.,Johnny Moore,1.96
20.,Ron Lee,1.94
21.,Nate McMillan,1.94
22.,Jason Kidd*,1.93
23.,Magic Johnson*,1.90
24.,Isiah Thomas*,1.90
25.,George McGinnis*,1.88
26.,Doug Christie,1.88
27.,Quinn Buckner,1.86
28.,Baron Davis,1.83
29.,Gary Payton*,1.83
30.,Ray Williams,1.83
31.,Eddie Jordan,1.82
32.,Doc Rivers,1.81
33.,Norm Van Lier,1.81
34.,Ricky Rubio,1.80
35.,Larry Steele,1.79
36.,Mike Gale,1.77
37.,Kawhi Leonard,1.76
38.,Hakeem Olajuwon*,1.75
39.,Metta World Peace,1.74
40.,Micheal Williams,1.74
41.,Larry Bird*,1.73
42.,Paul George,1.72
43.,Randy Smith,1.72
44.,Darwin Cook,1.71
45.,Ron Harper,1.70
46.,Eddie Jones,1.70
47.,Monta Ellis,1.69
48.,Brevin Knight,1.69
49.,Ted McClain,1.67
50.,Russell Westbrook,1.66
51.,Michael Adams,1.66
52.,John Wall,1.65
53.,Hersey Hawkins,1.65
54.,Stephen Curry,1.65
55.,Tim Hardaway*,1.65
56.,Jimmy Butler,1.64
57.,Eric Murdock,1.63
58.,Derek Harper,1.63
59.,Victor Oladipo,1.62
60.,Jim Price,1.61
61.,Gilbert Arenas,1.60
62.,Phil Chenier,1.60
63.,Chris Ford,1.60
64.,Kerry Kittles,1.60
65.,Anfernee Hardaway,1.60
66.,Robert Covington,1.59
67.,Rajon Rondo,1.59
68.,Lester Conner,1.58
69.,Terrell Brandon,1.58
70.,Kendall Gill,1.57
71.,Marcus Smart,1.57
72.,Dudley Bradley,1.57
73.,Lionel Hollins,1.56
74.,LeBron James,1.56
75.,Chris Mullin*,1.55
76.,Norm Nixon,1.55
77.,Muggsy Bogues,1.54
78.,Dwyane Wade,1.54
79.,Charles Barkley*,1.54
80.,James Harden,1.53
81.,Calvin Murphy*,1.53
82.,Darrell Walker,1.51
83.,Shawn Marion,1.51
84.,Jrue Holiday,1.51
85.,Lucius Allen,1.51
86.,Foots Walker,1.51
87.,Larry Hughes,1.50
88.,Gary Grant,1.49
89.,Rod Strickland,1.48
90.,Bobby Jones*,1.47
91.,Kevin Johnson,1.47
92.,Mario Chalmers,1.47
93.,Steve Francis,1.47
94.,Darnell Valentine,1.47
95.,Kenny Anderson,1.47
96.,Jay Humphries,1.46
97.,Trevor Ariza,1.46
98.,Kobe Bryant*,1.44
99.,Gerald Wallace,1.44
100.,Chris Webber*,1.44
101.,Andre Iguodala,1.44
102.,Jeff Hornacek,1.43
103.,Dave Twardzik,1.43
104.,Rickey Green,1.42
105.,Jamaal Tinsley,1.42
106.,Mike Conley,1.42
107.,Latrell Sprewell,1.42
108.,Tom Gugliotta,1.41
109.,Karl Malone*,1.41
110.,Tony Allen,1.41
111.,Kevin Porter,1.41
112.,Thaddeus Young,1.41
113.,David Robinson*,1.41
114.,Nick Anderson,1.39
115.,Draymond Green,1.39
116.,M.L. Carr,1.38
117.,Paul Pressey,1.38
118.,Andrei Kirilenko,1.38
119.,John Lucas,1.37
120.,Ralph Simpson,1.37
121.,Kevin Edwards,1.37
122.,Anthony Davis,1.36
123.,Eric Bledsoe,1.36
124.,Pete Maravich*,1.36
125.,John Drew,1.36
126.,Andre Drummond,1.35
127.,Sonny Parker,1.35
128.,Fred Brown,1.35
129.,Darrell Armstrong,1.35
130.,David Wesley,1.35
131.,Gar Heard,1.34
132.,Dennis Johnson*,1.34
133.,Paul Westphal*,1.34
134.,Reggie Williams,1.34
135.,DeMarcus Cousins,1.34
136.,Kyrie Irving,1.34
137.,Allen Leavell,1.33
138.,Gail Goodrich*,1.33
139.,T.R. Dunn,1.33
140.,Ricky Sobers,1.32
141.,Caron Butler,1.32
142.,Winston Garland,1.32
143.,Kyle Lowry,1.32
144.,Manu Ginóbili*,1.32
145.,Ron Boone,1.32
146.,Dee Brown,1.32
147.,Sam Lacey,1.31
148.,Alvan Adams,1.30
149.,Paul Pierce*,1.30
150.,Marko Jarić,1.30
151.,Bonzi Wells,1.30
152.,John Williams,1.30
153.,Stephen Jackson,1.29
154.,Charlie Scott*,1.29
155.,Marques Johnson,1.29
156.,Dominique Wilkins*,1.28
157.,Pooh Richardson,1.28
158.,T.J. McConnell,1.27
159.,Kevin Garnett*,1.27
160.,Jo Jo White*,1.27
161.,Bobby Phills,1.27
162.,Jamaal Wilkes*,1.27
163.,Nerlens Noel,1.27
164.,Larry Kenon,1.27
165.,Reggie Lewis,1.26
166.,Ben Wallace*,1.26
167.,Bob Dandridge*,1.26
168.,Bob Wilkerson,1.25
169.,Dan Majerle,1.25
170.,Corey Brewer,1.25
171.,Doug Collins,1.25
172.,Jerome Kersey,1.25
173.,George Gervin*,1.25
174.,Kemba Walker,1.24
175.,Terry Porter,1.24
176.,Mitch Richmond*,1.24
177.,Mark Jackson,1.24
178.,Walter Davis,1.24
179.,Ronnie Brewer,1.24
180.,Tyreke Evans,1.24
181.,Otis Birdsong,1.23
182.,Charlie Ward,1.23
183.,Eric Money,1.23
184.,Chris Morris,1.23
185.,Brandon Jennings,1.22
186.,Paul Millsap,1.22
187.,Phil Ford,1.22
188.,Khris Middleton,1.22
189.,Brian Winters,1.22
190.,Steve Mix,1.22
191.,Darrell Griffith,1.22
192.,Grant Hill*,1.22
193.,Antoine Walker,1.22
194.,Larry Nance Jr.,1.21
195.,Jim Paxson,1.21
196.,Rafer Alston,1.21
197.,Josh Smith,1.21
198.,Mike Woodson,1.21
199.,Tracy McGrady*,1.21
200.,Stephon Marbury,1.21
201.,Sidney Moncrief*,1.20
202.,Glenn Robinson,1.20
203.,Bob Gross,1.20
204.,Sedale Threatt,1.20
205.,Grant Long,1.20
206.,Lindsey Hunter,1.20
207.,Nikola Jokić,1.20
208.,Alvin Williams,1.19
209.,Don Chaney,1.19
210.,Mark Price,1.19
211.,Andre Miller,1.19
212.,Charles Johnson,1.18
213.,Jason Williams,1.18
214.,Michael Cooper,1.18
215.,Kenyon Martin,1.18
216.,Raymond Felton,1.18
217.,Elfrid Payton,1.18
218.,Reggie Theus,1.18
219.,Cuttino Mobley,1.18
220.,Greg Anthony,1.17
221.,Armond Hill,1.17
222.,Mike Bibby,1.17
223.,Sleepy Floyd,1.17
224.,Tom Henderson,1.17
225.,Gary Harris,1.17
226.,Delon Wright,1.17
227.,Giannis Antetokounmpo,1.16
228.,Jason Richardson,1.16
229.,Ruben Patterson,1.16
230.,T.J. Ford,1.16
231.,Ty Lawson,1.15
232.,Darren Collison,1.15
233.,Tyrone Corbin,1.15
234.,Eric Snow,1.15
235.,Wil Jones,1.15
236.,Aaron McKie,1.15
237.,Kyle Macy,1.15
238.,Derrick McKey,1.14
239.,Patrick Beverley,1.14
240.,Mack Calvin,1.14
241.,Dave Cowens*,1.14
242.,Johnny Dawkins,1.14
243.,Byron Scott,1.14
244.,Vernon Maxwell,1.14
245.,Jason Terry,1.14
246.,Vlade Divac*,1.14
247.,Otto Porter Jr.,1.14
248.,John Bagley,1.14
249.,Mickey Johnson,1.13
250.,Jeff Teague,1.13
