No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Player-additional
8,Nemanja Bjelica,C,6-10,234,May 9 1988,rs,6,,bjeline01
2,Chris Chiozza,PG,5-11,175,November 21 1995,us,3,Florida,chiozch01
30,Stephen Curry,PG,6-2,185,March 14 1988,us,12,Davidson,curryst01
21,Jeff Dowtin,PG,6-3,185,May 10 1997,us,R,Rhode Island,dowtije01
23,Draymond Green,PF,6-6,230,March 4 1990,us,9,Michigan State,greendr01
9,Andre Iguodala,SF,6-6,215,January 28 1984,us,17,Arizona,iguodan01
00,Jonathan Kuminga,SF,6-8,210,October 6 2002,cd,R,,kuminjo01
1,Damion Lee,SG,6-5,210,October 21 1992,us,4,Drexel Louisville,leeda03
5,Kevon Looney,C,6-9,222,February 6 1996,us,6,UCLA,looneke01
4,Moses Moody,SG,6-6,205,May 31 2002,us,R,Arkansas,moodymo01
0,Gary Payton II,SG,6-3,190,December 1 1992,us,5,Oregon State,paytoga02
3,Jordan Poole,SG,6-4,194,June 19 1999,us,2,Michigan,poolejo01
32,Otto Porter Jr.,PF,6-8,198,June 3 1993,us,8,Georgetown,porteot01
11,Klay Thompson,SG,6-6,215,February 8 1990,us,8,Washington State,thompkl01
95,Juan Toscano-Anderson,SF,6-6,209,April 10 1993,us,2,Marquette,toscaju01
12,Quinndary Weatherspoon,SG,6-3,205,September 10 1996,us,2,Mississippi State,weathqu01
22,Andrew Wiggins,SF,6-7,197,February 23 1995,ca,7,Kansas,wiggian01
6,Jaylen Adams,PG,6-0,225,May 4 1996,us,2,St. Bonaventure,adamsja01
34,Giannis Antetokounmpo,PF,7-0,242,December 6 1994,gr,7,,antetgi01
43,Thanasis Antetokounmpo,SF,6-6,219,July 18 1992,gr,2,,antetth01
12,D.J. Augustin,PG,5-11,183,November 10 1987,us,12,Texas,augusdj01
3,Elijah Bryant,SG,6-5,210,April 19 1995,us,R,Elon University BYU,bryanel01
24,Pat Connaughton,SG,6-5,209,January 6 1993,us,5,Notre Dame,connapa01
3,Torrey Craig,SF,6-7,221,December 19 1990,us,3,USC Upstate,craigto01
25,Mamadi Diakite,PF,6-9,228,January 21 1997,gn,R,Virginia,diakima01
0,Donte DiVincenzo,SG,6-4,203,January 31 1997,us,2,Villanova,divindo01
7,Bryn Forbes,SG,6-2,205,July 23 1993,us,4,Michigan State,forbebr01
21,Jrue Holiday,PG,6-3,205,June 12 1990,us,11,UCLA,holidjr01
44,Justin Jackson,SF,6-8,220,March 28 1995,us,3,UNC,jacksju01
00,Rodions Kurucs,SF,6-9,228,February 5 1998,lv,2,,kurucro01
11,Brook Lopez,C,7-0,282,April 1 1988,us,12,Stanford,lopezbr01
15,Sam Merrill,SG,6-4,205,May 15 1996,us,R,Utah State University,merrisa01
22,Khris Middleton,SF,6-7,222,August 12 1991,us,8,Texas A&M,middlkh01
13,Jordan Nwora,SF,6-8,225,September 9 1998,us,R,Louisville,nworajo01
9,Bobby Portis,C,6-10,250,February 10 1995,us,5,Arkansas,portibo01
5,Jeff Teague,PG,6-3,195,June 10 1988,us,11,Wake Forest,teaguje01
66,Axel Toupane,SF,6-7,197,July 23 1992,fr,2,,toupaax01
17,P.J. Tucker,PF,6-5,245,May 5 1985,us,9,Texas,tuckepj01
5,D.J. Wilson,PF,6-10,231,February 19 1996,us,3,Michigan,wilsodj01
37,Kostas Antetokounmpo,PF,6-10,200,November 20 1997,gr,1,Dayton,antetko01
11,Avery Bradley,SG,6-3,180,November 26 1990,us,9,Texas,bradlav01
12,Devontae Cacok,C,6-7,240,October 8 1996,us,R,UNC Wilmington,cacokde01
1,Kentavious Caldwell-Pope,SG,6-5,204,February 18 1993,us,6,Georgia,caldwke01
4,Alex Caruso,PG,6-4,186,February 28 1994,us,2,Texas A&M,carusal01
2 28,Quinn Cook,PG,6-1,180,March 23 1993,us,3,Duke,cookqu01
30,Troy Daniels,SG,6-4,200,July 15 1991,us,6,VCU,danietr01
3,Anthony Davis,PF,6-10,253,March 11 1993,us,7,Kentucky,davisan02
10,Jared Dudley,PF,6-6,237,July 10 1985,us,12,Boston College,dudleja01
14,Danny Green,SG,6-6,215,June 22 1987,us,10,UNC,greenda02
5,Talen Horton-Tucker,SG,6-4,234,November 25 2000,us,R,Iowa State,hortota01
39,Dwight Howard,C,6-10,265,December 8 1985,us,15,,howardw01
23,LeBron James,PG,6-9,250,December 30 1984,us,16,,jamesle01
0,Kyle Kuzma,PF,6-9,221,July 24 1995,us,2,Utah,kuzmaky01
7,JaVale McGee,C,7-0,270,January 19 1988,us,11,Nevada,mcgeeja01
88,Markieff Morris,PF,6-9,245,September 2 1989,us,8,Kansas,morrima02
21,Zach Norvell,SG,6-5,206,December 9 1997,us,R,Gonzaga,norveza01
9,Rajon Rondo,PG,6-1,180,February 22 1986,us,13,Kentucky,rondora01
21,J.R. Smith,SG,6-6,225,September 9 1985,us,15,,smithjr01
18,Dion Waiters,SG,6-3,215,December 10 1991,us,7,Syracuse,waitedi01
3,OG Anunoby,SF,6-7,232,July 17 1997,gb,1,Indiana,anunoog01
25,Chris Boucher,PF,6-9,200,January 11 1993,lc,1,Oregon,bouchch01
4,Lorenzo Brown,PG,6-5,189,August 26 1990,us,4,NC State,brownlo01
33,Marc Gasol,C,6-11,255,January 29 1985,es,10,,gasolma01
14,Danny Green,SG,6-6,215,June 22 1987,us,9,UNC,greenda02
9,Serge Ibaka,C,6-10,235,September 18 1989,cg,9,,ibakase01
2,Kawhi Leonard,SF,6-7,225,June 29 1991,us,7,San Diego State,leonaka01
17,Jeremy Lin,PG,6-3,200,August 23 1988,us,8,Harvard University,linje01
7,Kyle Lowry,PG,6-0,196,March 25 1986,us,12,Villanova,lowryky01
8,Jordan Loyd,PG,6-4,210,July 27 1993,us,R,Furman University University of Indianapolis,loydjo01
1,Patrick McCaw,SG,6-7,181,October 25 1995,us,2,UNLV,mccawpa01
20,Jodie Meeks,SG,6-4,210,August 21 1987,us,9,Kentucky,meeksjo01
0,C.J. Miles,SF,6-6,220,March 18 1987,us,13,,milescj01
13,Malcolm Miller,SF,6-7,210,March 6 1993,us,1,Holy Cross,millema01
15,Greg Monroe,C,6-11,265,June 4 1990,us,8,Georgetown,monrogr01
15,Eric Moreland,PF,6-10,238,December 24 1991,us,3,Oregon State,moreler01
24,Norman Powell,SG,6-3,215,May 25 1993,us,3,UCLA,powelno01
22,Malachi Richardson,SG,6-6,205,January 5 1996,us,2,Syracuse,richama01
43,Pascal Siakam,PF,6-9,230,April 2 1994,cm,2,New Mexico State,siakapa01
17,Jonas Valančiūnas,C,6-11,265,May 6 1992,lt,6,,valanjo01
23,Fred VanVleet,PG,6-1,197,February 25 1994,us,2,Wichita State,vanvlfr01
55,Delon Wright,PG,6-5,185,April 26 1992,us,3,Utah,wrighde01
2,Jordan Bell,C,6-8,216,January 7 1995,us,R,Oregon,belljo01
25,Chris Boucher,PF,6-9,200,January 11 1993,lc,R,Oregon,bouchch01
18,Omri Casspi,SF,6-9,225,June 22 1988,il,8,,casspom01
4,Quinn Cook,PG,6-1,180,March 23 1993,us,1,Duke,cookqu01
30,Stephen Curry,PG,6-2,185,March 14 1988,us,8,Davidson,curryst01
35,Kevin Durant,SF,6-10,240,September 29 1988,us,10,Texas,duranke01
23,Draymond Green,PF,6-6,230,March 4 1990,us,5,Michigan State,greendr01
9,Andre Iguodala,SF,6-6,215,January 28 1984,us,13,Arizona,iguodan01
15,Damian Jones,C,6-11,245,June 30 1995,us,1,Vanderbilt,jonesda03
34,Shaun Livingston,PG,6-7,192,September 11 1985,us,12,,livinsh01
5,Kevon Looney,C,6-9,222,February 6 1996,us,2,UCLA,looneke01
0,Patrick McCaw,SG,6-7,181,October 25 1995,us,1,UNLV,mccawpa01
1,JaVale McGee,C,7-0,270,January 19 1988,us,9,Nevada,mcgeeja01
27,Zaza Pachulia,C,6-11,270,February 10 1984,ge,14,,pachuza01
11,Klay Thompson,SG,6-6,215,February 8 1990,us,6,Washington State,thompkl01
3,David West,C,6-9,250,August 29 1980,us,14,Xavier,westda01
6,Nick Young,SG,6-7,210,June 1 1985,us,10,USC,youngni01
22,Matt Barnes,SF,6-7,226,March 9 1980,us,13,UCLA,barnema02
21,Ian Clark,SG,6-3,175,March 7 1991,us,3,Belmont,clarkia01
30,Stephen Curry,PG,6-2,185,March 14 1988,us,7,Davidson,curryst01
35,Kevin Durant,PF,6-10,240,September 29 1988,us,9,Texas,duranke01
23,Draymond Green,PF,6-6,230,March 4 1990,us,4,Michigan State,greendr01
9,Andre Iguodala,SF,6-6,215,January 28 1984,us,12,Arizona,iguodan01
15,Damian Jones,C,6-11,245,June 30 1995,us,R,Vanderbilt,jonesda03
34,Shaun Livingston,PG,6-7,192,September 11 1985,us,11,,livinsh01
5,Kevon Looney,C,6-9,222,February 6 1996,us,1,UCLA,looneke01
20,James Michael McAdoo,PF,6-9,230,January 4 1993,us,2,UNC,mcadoja01
0,Patrick McCaw,SG,6-7,181,October 25 1995,us,R,UNLV,mccawpa01
1,JaVale McGee,C,7-0,270,January 19 1988,us,8,Nevada,mcgeeja01
27,Zaza Pachulia,C,6-11,270,February 10 1984,ge,13,,pachuza01
11,Klay Thompson,SG,6-6,215,February 8 1990,us,5,Washington State,thompkl01
18,Anderson Varejão,C,6-11,273,September 28 1982,br,12,,varejan01
2,Briante Weber,PG,6-2,165,December 29 1992,us,1,VCU,weberbr01
3,David West,C,6-9,250,August 29 1980,us,13,Xavier,westda01
9,Jared Cunningham,SG,6-4,195,May 22 1991,us,3,Oregon State,cunnija01
8,Matthew Dellavedova,PG,6-3,200,September 8 1990,au,2,Saint Mary's,dellama01
9,Channing Frye,C,7-0,255,May 17 1983,us,9,Arizona,fryech01
12,Joe Harris,SG,6-6,220,September 6 1991,us,1,Virginia,harrijo01
2,Kyrie Irving,PG,6-2,195,March 23 1992,au,4,Duke,irvinky01
23,LeBron James,SF,6-9,250,December 30 1984,us,12,,jamesle01
24,Richard Jefferson,SF,6-7,233,June 21 1980,us,14,Arizona,jefferi01
30,Dahntay Jones,SF,6-6,225,December 27 1980,us,11,Rutgers University Duke,jonesda02
1,James Jones,SF,6-8,218,October 4 1980,us,12,Miami (FL),jonesja02
14,Sasha Kaun,C,6-11,260,May 8 1985,ru,R,Kansas,kaunsa01
0,Kevin Love,PF,6-8,251,September 7 1988,us,7,UCLA,loveke01
12,Jordan McRae,PG,6-5,179,March 28 1991,us,R,Tennessee,mcraejo01
20,Timofey Mozgov,C,7-1,275,July 16 1986,ru,5,,mozgoti01
4,Iman Shumpert,SG,6-5,215,June 26 1990,us,4,Georgia Tech,shumpim01
5,J.R. Smith,SG,6-6,225,September 9 1985,us,11,,smithjr01
13,Tristan Thompson,PF,6-9,254,March 13 1991,ca,4,Texas,thomptr01
17,Anderson Varejão,C,6-11,273,September 28 1982,br,11,,varejan01
52,Mo Williams,PG,6-1,198,December 19 1982,us,12,Alabama,willima01
19,Leandro Barbosa,SG,6-3,194,November 28 1982,br,11,,barbole01
40,Harrison Barnes,SF,6-8,225,May 30 1992,us,2,UNC,barneha02
12,Andrew Bogut,C,7-0,260,November 28 1984,au,9,Utah,bogutan01
30,Stephen Curry,PG,6-2,185,March 14 1988,us,5,Davidson,curryst01
31,Festus Ezeli,C,6-11,255,October 21 1989,ng,1,Vanderbilt,ezelife01
23,Draymond Green,PF,6-6,230,March 4 1990,us,2,Michigan State,greendr01
7,Justin Holiday,SG,6-6,180,April 5 1989,us,1,Washington,holidju01
9,Andre Iguodala,SF,6-6,215,January 28 1984,us,10,Arizona,iguodan01
1,Ognjen Kuzmić,C,7-1,251,May 16 1990,ba,1,,kuzmiog01
10,David Lee,PF,6-9,245,April 29 1983,us,9,Florida,leeda02
34,Shaun Livingston,PG,6-7,192,September 11 1985,us,9,,livinsh01
20,James Michael McAdoo,PF,6-9,230,January 4 1993,us,R,UNC,mcadoja01
4,Brandon Rush,SG,6-6,220,July 7 1985,us,6,Kansas,rushbr01
5,Marreese Speights,C,6-10,255,August 4 1987,us,6,Florida,speigma01
11,Klay Thompson,SG,6-6,215,February 8 1990,us,3,Washington State,thompkl01
11,Jeff Ayres,PF,6-9,240,April 29 1987,us,3,Arizona State,pendeje02
16,Aron Baynes,C,6-10,260,December 9 1986,nz,1,Washington State,baynear01
3,Marco Belinelli,SF,6-5,220,March 25 1986,it,6,,belinma01
15,Matt Bonner,PF,6-10,235,April 5 1980,us,9,Florida,bonnema01
1,Shannon Brown,SG,6-4,205,November 29 1985,us,7,Michigan State,brownsh01
23,Austin Daye,SF,6-11,220,June 5 1988,us,4,Gonzaga,dayeau01
25,Nando De Colo,SF,6-5,200,June 23 1987,fr,1,,decolna01
33,Boris Diaw,PF,6-8,250,April 16 1982,fr,10,,diawbo01
21,Tim Duncan,C,6-11,250,April 25 1976,vi,16,Wake Forest,duncati01
20,Manu Ginóbili,SG,6-6,205,July 28 1977,ar,11,,ginobma01
4,Danny Green,SG,6-6,215,June 22 1987,us,4,UNC,greenda02
7,Damion James,SF,6-7,225,October 7 1987,us,3,Texas,jamesda01
7,Othyus Jeffers,SG,6-5,200,August 5 1985,us,2,University of Illinois at Chicago Robert Morris University (IL),jeffeot01
5,Cory Joseph,SG,6-3,200,August 20 1991,ca,2,Texas,josepco01
2,Kawhi Leonard,SF,6-7,225,June 29 1991,us,2,San Diego State,leonaka01
8,Patty Mills,PG,6-1,180,August 11 1988,au,4,Saint Mary's,millspa02
9,Tony Parker,PG,6-2,185,May 17 1982,be,12,,parketo01
22,Tiago Splitter,C,6-11,245,January 1 1985,br,3,,splitti01
24,Malcolm Thomas,PF,6-9,225,November 8 1988,us,2,Pepperdine San Diego State,thomama01
34,Ray Allen,SG,6-5,205,July 20 1975,us,16,UConn,allenra02
11,Chris Andersen,C,6-10,245,July 7 1978,us,10,Blinn College,anderch01
50,Joel Anthony,C,6-9,245,August 9 1982,ca,5,UNLV,anthojo01
31,Shane Battier,SF,6-8,220,September 9 1978,us,11,Duke,battish01
1,Chris Bosh,C,6-11,235,March 24 1984,us,9,Georgia Tech,boshch01
15,Mario Chalmers,PG,6-2,190,May 19 1986,us,4,Kansas,chalmma01
30,Norris Cole,PG,6-2,175,October 13 1988,us,1,Cleveland State University,coleno01
55,Josh Harrellson,C,6-10,275,February 12 1989,us,1,Kentucky,harrejo01
14,Terrel Harris,SG,6-5,190,August 10 1987,us,1,Oklahoma State,harrite01
40,Udonis Haslem,PF,6-8,235,June 9 1980,us,9,Florida,hasleud01
5,Juwan Howard,PF,6-9,240,February 7 1973,us,18,Michigan,howarju01
6,LeBron James,PF,6-9,250,December 30 1984,us,9,,jamesle01
22,James Jones,SF,6-8,218,October 4 1980,us,9,Miami (FL),jonesja02
9,Rashard Lewis,PF,6-10,215,August 8 1979,us,14,,lewisra02
13,Mike Miller,SF,6-8,218,February 19 1980,us,12,Florida,millemi01
45,Dexter Pittman,C,6-11,308,March 2 1988,us,2,Texas,pittmde01
24,Jarvis Varnado,PF,6-9,230,March 1 1988,us,R,Mississippi State,varnaja01
3,Dwyane Wade,SG,6-4,220,January 17 1982,us,9,Marquette,wadedw01
50,Joel Anthony,C,6-9,245,August 9 1982,ca,4,UNLV,anthojo01
31,Shane Battier,SF,6-8,220,September 9 1978,us,10,Duke,battish01
1,Chris Bosh,PF,6-11,235,March 24 1984,us,8,Georgia Tech,boshch01
15,Mario Chalmers,PG,6-2,190,May 19 1986,us,3,Kansas,chalmma01
30,Norris Cole,PG,6-2,175,October 13 1988,us,R,Cleveland State University,coleno01
34,Eddy Curry,C,7-0,295,December 5 1982,us,9,,curryed01
32,Mickell Gladness,PF,6-11,220,July 26 1986,us,R,Alabama A&M University,gladnmi01
14,Terrel Harris,SG,6-5,190,August 10 1987,us,R,Oklahoma State,harrite01
40,Udonis Haslem,PF,6-8,235,June 9 1980,us,8,Florida,hasleud01
5,Juwan Howard,PF,6-9,240,February 7 1973,us,17,Michigan,howarju01
6,LeBron James,SF,6-9,250,December 30 1984,us,8,,jamesle01
22,James Jones,SG,6-8,218,October 4 1980,us,8,Miami (FL),jonesja02
13,Mike Miller,SG,6-8,218,February 19 1980,us,11,Florida,millemi01
45,Dexter Pittman,C,6-11,308,March 2 1988,us,1,Texas,pittmde01
21,Ronny Turiaf,C,6-10,249,January 13 1983,mq,6,Gonzaga,turiaro01
3,Dwyane Wade,SG,6-4,220,January 17 1982,us,8,Marquette,wadedw01
8,Alexis Ajinça,C,7-2,248,May 6 1988,fr,2,,ajincal01
11,J.J. Barea,PG,5-10,180,June 26 1984,pr,4,Northeastern University,bareajo01
3,Rodrigue Beaubois,PG,6-0,170,February 24 1988,gp,1,,beaubro01
13,Corey Brewer,SG,6-9,186,March 5 1986,us,3,Florida,breweco01
4,Caron Butler,SF,6-7,228,March 13 1980,us,8,UConn,butleca01
35,Brian Cardinal,SF,6-8,245,May 2 1977,us,10,Purdue,cardibr01
6,Tyson Chandler,C,7-0,235,October 2 1982,us,9,,chandty01
33,Brendan Haywood,C,7-0,268,November 27 1979,us,9,UNC,haywobr01
20,Dominique Jones,SG,6-4,215,October 15 1988,us,R,South Florida,jonesdo02
2,Jason Kidd,PG,6-4,205,March 23 1973,us,16,California,kiddja01
28,Ian Mahinmi,C,6-11,262,November 5 1986,fr,2,,mahinia01
0,Shawn Marion,SF,6-7,220,May 7 1978,us,11,Vincennes University UNLV,mariosh01
21,Steve Novak,SF,6-10,225,June 13 1983,us,4,Marquette,novakst01
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,de,12,,nowitdi01
7,Sasha Pavlović,SF,6-8,220,November 15 1983,me,7,,pavloal01
92,DeShawn Stevenson,SG,6-5,210,April 3 1981,us,10,,stevede01
16,Peja Stojaković,SF,6-10,229,June 9 1977,hr,12,,stojape01
31,Jason Terry,SG,6-2,185,September 15 1977,us,11,Arizona,terryja01
12,Shannon Brown,SG,6-4,205,November 29 1985,us,3,Michigan State,brownsh01
24,Kobe Bryant,SG,6-6,212,August 23 1978,us,13,,bryanko01
17,Andrew Bynum,C,7-0,285,October 27 1987,us,4,,bynuman01
1,Jordan Farmar,PG,6-2,180,November 30 1986,us,3,UCLA,farmajo01
2,Derek Fisher,PG,6-1,200,August 9 1974,us,13,Little Rock,fishede01
16,Pau Gasol,C,7-0,250,July 6 1980,es,8,,gasolpa01
28,D.J. Mbenga,C,7-0,245,December 30 1980,cd,5,,mbengdj01
6,Adam Morrison,SF,6-8,205,July 19 1984,us,2,Gonzaga,morriad01
7,Lamar Odom,PF,6-10,220,November 6 1979,us,10,Rhode Island,odomla01
21,Josh Powell,PF,6-9,225,January 25 1983,us,4,NC State,poweljo01
18,Sasha Vujačić,SG,6-7,195,March 8 1984,si,5,,vujacsa01
4,Luke Walton,SF,6-8,235,March 28 1980,us,6,Arizona,waltolu01
37,Metta World Peace,SF,6-7,260,November 13 1979,us,10,St. John's,artesro01
3,Trevor Ariza,SF,6-8,215,June 30 1985,us,4,UCLA,arizatr01
12,Shannon Brown,SG,6-4,205,November 29 1985,us,2,Michigan State,brownsh01
24,Kobe Bryant,SG,6-6,212,August 23 1978,us,12,,bryanko01
17,Andrew Bynum,C,7-0,285,October 27 1987,us,3,,bynuman01
5,Jordan Farmar,PG,6-2,180,November 30 1986,us,2,UCLA,farmajo01
2,Derek Fisher,PG,6-1,200,August 9 1974,us,12,Little Rock,fishede01
16,Pau Gasol,C,7-0,250,July 6 1980,es,7,,gasolpa01
28,D.J. Mbenga,C,7-0,245,December 30 1980,cd,4,,mbengdj01
31,Chris Mihm,C,7-0,265,July 16 1979,us,7,Texas,mihmch01
6,Adam Morrison,SF,6-8,205,July 19 1984,us,1,Gonzaga,morriad01
7,Lamar Odom,PF,6-10,220,November 6 1979,us,9,Rhode Island,odomla01
21,Josh Powell,PF,6-9,225,January 25 1983,us,3,NC State,poweljo01
10,Vladimir Radmanović,SF,6-10,227,November 19 1980,ba,7,,radmavl01
18,Sasha Vujačić,SG,6-7,195,March 8 1984,si,4,,vujacsa01
4,Luke Walton,SF,6-8,235,March 28 1980,us,5,Arizona,waltolu01
9,Sun Yue,SG,6-9,205,November 6 1985,cn,R,,yuesu01
20,Ray Allen,SG,6-5,205,July 20 1975,us,11,UConn,allenra02
42,Tony Allen,SG,6-4,213,January 11 1982,us,3,Butler County Community College Oklahoma State,allento01
93,P.J. Brown,PF,6-11,225,October 14 1969,us,14,Louisiana Tech,brownpj01
28,Sam Cassell,PG,6-3,185,November 18 1969,us,14,Florida State,cassesa01
11,Glen Davis,C,6-9,289,January 1 1986,us,R,LSU,davisgl01
5,Kevin Garnett,PF,6-11,240,May 19 1976,us,12,,garneke01
50,Eddie House,PG,6-1,180,May 14 1978,us,7,Arizona State,houseed01
43,Kendrick Perkins,C,6-10,270,November 10 1984,us,4,,perkike01
34,Paul Pierce,SF,6-7,235,October 13 1977,us,9,Kansas,piercpa01
66,Scot Pollard,C,6-11,265,February 12 1975,us,10,Kansas,pollasc01
41,James Posey,PF,6-8,215,January 13 1977,us,8,Xavier,poseyja01
0,Leon Powe,C,6-8,240,January 22 1984,us,1,California,powele01
13,Gabe Pruitt,PG,6-4,170,April 19 1986,us,R,USC,pruitga01
9,Rajon Rondo,PG,6-1,180,February 22 1986,us,1,Kentucky,rondora01
44,Brian Scalabrine,PF,6-9,241,March 18 1978,us,6,USC,scalabr01
17,Brent Barry,SG,6-6,185,December 31 1971,us,11,Oregon State,barrybr01
15,Matt Bonner,PF,6-10,235,April 5 1980,us,2,Florida,bonnema01
12,Bruce Bowen,SF,6-7,185,June 14 1971,us,10,Cal State Fullerton,bowenbr01
45,Jackie Butler,C,6-10,250,March 10 1985,us,2,,butleja01
21,Tim Duncan,C,6-11,250,April 25 1976,vi,9,Wake Forest,duncati01
16,Francisco Elson,C,7-0,235,February 28 1976,nl,3,California,elsonfr01
2,Melvin Ely,C,6-10,260,May 2 1978,us,4,Fresno State,elyme01
4,Michael Finley,SF,6-7,215,March 6 1973,us,11,Wisconsin,finlemi01
20,Manu Ginóbili,SG,6-6,205,July 28 1977,ar,4,,ginobma01
5,Robert Horry,PF,6-10,240,August 25 1970,us,14,Alabama,horryro01
7,Fabricio Oberto,C,6-10,245,March 21 1975,ar,1,,obertfa01
9,Tony Parker,PG,6-2,185,May 17 1982,be,5,,parketo01
14,Beno Udrih,PG,6-3,205,July 5 1982,si,2,,udrihbe01
11,Jacque Vaughn,PG,6-1,190,February 11 1975,us,9,Kansas,vaughja01
33,James White,SG,6-7,200,October 21 1982,us,R,Florida Cincinnati,whiteja02
55,Eric Williams,SF,6-8,220,July 17 1972,us,11,Vincennes University Providence,willier01
5,Derek Anderson,SG,6-5,194,July 18 1974,us,8,Ohio State Kentucky,anderde01
49,Shandon Anderson,SF,6-6,208,December 31 1973,us,9,Georgia,andersh01
30,Earl Barron,C,7-0,250,August 14 1981,us,R,Memphis,barroea01
