Position, Player, PosicionPPG, PosicionAPG, PosicionRPG, PosicionWS48, PosicionPER, PuntajeCampeonatos, PuntajeFMVP, PuntajeMVP, PuntajeAllDefense, PuntajeAllNBA, PuntajeAllStar, PuntajeRanking 
250, Gus Williams, 0, 0, 0, 0, 0, 6, 0, 0, 0, 16, 6, 28
251, Earl Monroe, 0, 0, 0, 0, 0, 6, 0, 0, 0, 10, 12, 28
252, Carl Braun, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 15, 27
253, Metta World Peace, 0, 0, 0, 0, 0, 6, 0, 0, 16, 2, 3, 27
254, Slick Watts, 0, 22, 0, 0, 0, 0, 0, 0, 5, 0, 0, 27
255, Bob Harrison, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
256, Don Chaney, 0, 0, 0, 0, 0, 12, 0, 0, 15, 0, 0, 27
257, Maurice Stokes, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 27
258, Tom Gola, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 15, 27
259, Latrell Sprewell, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 12, 25
260, Clyde Lee, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
261, Steve Francis, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25
262, World B. Free, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 24
263, Mark Eaton, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
264, Will Perdue, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
265, Pep Saul, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
266, A.C. Green, 0, 0, 0, 0, 0, 18, 0, 0, 3, 0, 3, 24
267, Terrell Brandon, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
268, Tom Chambers, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 24
269, Marcus Camby, 0, 0, 8, 0, 0, 0, 0, 0, 16, 0, 0, 24
270, John Salley, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
271, Gene Guarilia, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
272, Kurt Rambis, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
273, Joe Johnson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 23
274, Brevin Knight, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
275, John Brisker, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
276, Glen Rice, 0, 0, 0, 0, 0, 6, 0, 0, 0, 8, 9, 23
277, Alex Groza, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 3, 23
278, Shawn Marion, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 12, 22
279, Tyson Chandler, 0, 0, 0, 0, 0, 6, 0, 0, 11, 2, 3, 22
280, Serge Ibaka, 0, 0, 0, 0, 0, 6, 0, 0, 15, 0, 0, 21
281, Danny Green, 0, 0, 0, 0, 0, 18, 0, 0, 3, 0, 0, 21
282, B.J. Armstrong, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
283, Phil Smith, 0, 0, 0, 0, 0, 6, 0, 0, 3, 6, 6, 21
284, Andrew Bynum, 0, 0, 0, 0, 0, 12, 0, 0, 0, 6, 3, 21
285, Damon Stoudamire, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
286, Wayne Embry, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 15, 21
287, Ben Simmons, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 9, 21
288, Phil Chenier, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 9, 21
289, Jayson Tatum, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 21
290, Peja Stojaković, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 9, 21
291, Scott Wedman, 0, 0, 0, 0, 0, 12, 0, 0, 3, 0, 6, 21
292, Bill Cartwright, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
293, Eddie Jones, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 9, 20
294, Vin Baker, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 20
295, Kenny Anderson, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
296, Al Horford, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15, 20
297, Ralph Beard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 19
298, Jamaal Tinsley, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
299, Rick Fox, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
300, Jud Buechler, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
301, David West, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 6, 18
302, Whitey Skoog, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
303, Shannon Brown, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
304, Bill Wennington, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
305, Jack George, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 6, 18
306, Tayshaun Prince, 0, 0, 0, 0, 0, 6, 0, 0, 12, 0, 0, 18
307, Mitch Kupchak, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
308, Rudy LaRusso, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 15, 18
309, Otis Birdsong, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 18
310, Cedric Maxwell, 0, 0, 0, 0, 0, 12, 6, 0, 0, 0, 0, 18
311, Frankie Brian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 18
312, Joe Fulks, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 6, 18
313, Byron Scott, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
314, Devean George, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
315, Randy Brown, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
316, Brian Shaw, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
317, Quinn Buckner, 0, 0, 0, 0, 0, 6, 0, 0, 12, 0, 0, 18
318, Luc Longley, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
319, James Jones, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
320, JaVale McGee, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
321, Toni Kukoč, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
322, Dick Garmaker, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 18
323, Rasheed Wallace, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 12, 18
324, Stacey King, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
325, Patrick McCaw, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
326, Dickey Simpkins, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
327, Malik Rose, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
328, Shane Battier, 0, 0, 0, 0, 0, 12, 0, 0, 6, 0, 0, 18
329, Jason Caffey, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
330, Kevon Looney, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
331, John Paxson, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
332, Ralph Sampson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 18
333, Mario Elie, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
334, Gene Conley, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
335, Gerald Henderson, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
336, Shaun Livingston, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
337, Udonis Haslem, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
338, Scott Williams, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
339, James Edwards, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
340, Lionel Hollins, 0, 0, 0, 0, 0, 6, 0, 0, 8, 0, 3, 17
341, Brad Daugherty, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 17
342, Micheal Williams, 0, 8, 0, 0, 0, 6, 0, 0, 3, 0, 0, 17
343, Brandon Roy, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 17
344, Juwan Howard, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 3, 17
345, Pascal Siakam, 0, 0, 0, 0, 0, 6, 0, 0, 0, 8, 3, 17
346, Jason Williams, 0, 10, 0, 0, 0, 6, 0, 0, 0, 0, 0, 16
347, Truck Robinson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 16
348, Trooper Washington, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
349, Elton Brand, 0, 0, 0, 0, 4, 0, 0, 0, 0, 6, 6, 16
350, Dan Majerle, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 9, 15
351, Danny Ainge, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
352, Bill Bradley, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
353, Jeff Mullins, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 9, 15
354, Dick Barnett, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
355, Richard Hamilton, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 9, 15
356, P.J. Brown, 0, 0, 0, 0, 0, 6, 0, 0, 9, 0, 0, 15
357, Jack Coleman, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
358, M.L. Carr, 0, 0, 0, 0, 0, 12, 0, 0, 3, 0, 0, 15
359, Khris Middleton, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 9, 15
360, Anderson Varejão, 0, 0, 0, 0, 0, 12, 0, 0, 3, 0, 0, 15
361, Otis Thorpe, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
362, Antoine Walker, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 9, 15
363, Paul Millsap, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 12, 15
364, Marcus Smart, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 15
365, Don Ohl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15
366, Ty Lawson, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
367, Rudy Tomjanovich, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15
368, Avery Bradley, 0, 0, 0, 0, 0, 6, 0, 0, 8, 0, 0, 14
369, Doug Christie, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
370, Rodney McCray, 0, 0, 0, 0, 0, 6, 0, 0, 8, 0, 0, 14
371, Bob Verga, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
372, David Lee, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 6, 14
373, Andrei Kirilenko, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
374, Kemba Walker, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 14
375, Terry Cummings, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 14
376, Joe Caldwell, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 6, 14
377, Brian Taylor, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
378, John Bagley, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
379, Max Zaslofsky, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 13
380, Paul Pressey, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
381, Victor Oladipo, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 6, 13
382, Enes Freedom, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
383, Walt Davis, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
384, Lou Tsioropoulos, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
385, Herm Schaefer, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
386, Beno Udrih, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
387, Mike Bloom, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
388, Michael Finley, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
389, Scott Brooks, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
390, Luke Walton, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
391, Wally Walker, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
392, Johnny Jorgensen, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
393, Brook Lopez, 0, 0, 0, 0, 0, 6, 0, 0, 3, 0, 3, 12
394, Carl Herrera, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
395, Charles Johnson, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
396, D.J. Mbenga, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
397, Vernon Maxwell, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
398, Adam Morrison, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
399, Kenny Smith, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
400, Lamar Odom, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
401, Damian Jones, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
402, Josh Powell, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
403, Earl Cureton, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
404, Jerry Rullo, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
405, Mike McGee, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
406, Sidney Wicks, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12
407, J.R. Smith, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
408, Dick Schnittker, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
409, Mark Landsberger, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
410, Lew Hitch, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
411, Howie Schultz, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
412, Eddie Johnson, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 12
413, Andrew Toney, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
414, Joel Anthony, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
415, Jim Brewer, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 12
416, Sasha Vujačić, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
417, Mike Penberthy, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
418, Don Carlson, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
419, Arnie Ferrin, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
420, Zaza Pachulia, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
421, Steve Kuberski, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
422, Doug Collins, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12
423, John Thompson, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
424, Lonnie Shelton, 0, 0, 0, 0, 0, 6, 0, 0, 3, 0, 3, 12
425, Tony Jaros, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
426, Jim Paxson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 12
427, Mel Counts, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
428, Zach LaVine, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12
429, Ron Bonham, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
430, Tyronn Lue, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
431, Isaiah Thomas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 12
432, Matt Guokas, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
433, James Michael McAdoo, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
434, John Johnson, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
435, Brent Barry, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
436, Greg Kite, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
437, Devin Brown, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
438, Mal Graham, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
439, Bam Adebayo, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
440, Mario Chalmers, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
441, Stanislav Medvedenko, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
442, Quinn Cook, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
443, Chris Boucher, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
444, Dick Van Arsdale, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 9, 12
445, Randy Smith, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 12
446, Mel Hutchins, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12
447, Mark Madsen, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
448, Mychal Thompson, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
449, Billy Thompson, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
450, Mike Smrek, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
451, Wes Matthews, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
452, Craig Hodges, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
453, James Posey, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
454, Johnny Green, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12
455, Matt Bonner, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
456, Larry Johnson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 12
457, Dexter Pittman, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
458, Lindsey Hunter, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
459, Mike Miller, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
460, Caron Butler, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
461, Vinnie Johnson, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
462, Terrel Harris, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
463, Jim Holstein, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
464, Chuck Nevitt, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
465, Cliff Levingston, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
466, Norris Cole, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
467, Rolando Blackman, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12
468, Dennis Hopson, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
469, Archie Clark, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 12
470, Red Rocha, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
471, Sean Elliott, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
472, Jackie Moore, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
473, Rashard Lewis, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
474, Connie Simmons, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
475, Frank Selvy, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
476, Jordan Farmar, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
477, Andrew Bogut, 0, 0, 0, 0, 0, 6, 0, 0, 3, 2, 0, 11
478, Charles Oakley, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 11
479, Detlef Schrempf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 11
480, Sherman Douglas, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
481, Patrick Beverley, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
482, Kevin Willis, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 3, 11
483, Caldwell Jones, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
484, Fatty Taylor, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
485, Willie Wise, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
486, Mike Gale, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
487, Kiki Vandeweghe, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10
488, Ray Scott, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
489, Cazzie Russell, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
490, Ja Morant, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 9
491, T.R. Dunn, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
492, Donovan Mitchell, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9
493, Fred Brown, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
494, Theo Ratliff, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
495, Steve Smith, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
496, Bob Kauffman, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9
497, Tom Van Arsdale, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9
498, George Johnson, 0, 0, 0, 0, 0, 6, 0, 0, 3, 0, 0, 9
499, Clifford Robinson, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
500, Paul Walther, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
501, Bob Gross, 0, 0, 0, 0, 0, 6, 0, 0, 3, 0, 0, 9
502, Butch Beard, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
503, Mo Williams, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
504, Flynn Robinson, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
505, Mike Riordan, 0, 0, 0, 0, 0, 6, 0, 0, 3, 0, 0, 9
506, Julius Randle, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 9
507, Bob Boozer, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
508, Jon McGlocklin, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
509, Roy Hibbert, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 6, 9
510, Luol Deng, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 6, 9
511, Fred Schaus, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 9
512, Fred VanVleet, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
513, Bill Gabor, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
514, T.J. Ford, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
